Component Name,Qty,Price (₹),Price ($),Vendor
Raspberry Pi Pico 2 / Pico 2 W,1,635,8.00,https://robu.in/
Custom 75% Keyboard PCB,1,4692,52.00,https://powerpcb.com/
MX Mechanical Switches (Akko V5),84,2398,27.00,https://stackskb.com/store/akko-v5-creamy-yellow-pro-switch-pack-of-45/
Clear Screw-In Stabilizer,"4 + 1 (6.25U)",1595,18.00,https://stackskb.com/store/durock-clear-screw-in-stabilizers-v2/?attribute_combination=4%2B1+Set&attribute_spacebar-size=6.25U
1N4148W Diodes (SOD-123),84,122,1.50,https://robu.in/
Rotary Encoder (with push button),1,55,1.00,https://robu.in/product/hongyan-ec11h-7ce15p1zd15f7-rotary-encoder-with-push-button-switch-vertical-plug-in-5-pin-360-degree/
Keycap Set (75% compatible),1 set,2399,27.00,https://robu.in/
M2.5 Screws,7,43.30,0.50,https://onlyscrews.in/
M2.5 Heat-set Inserts,7,14.00,0.20,https://onlyscrews.in/
M1.6 Screws,5,16.00,0.20,https://onlyscrews.in/
Shipping (Robu.in),1,49,0.59,https://robu.in/
Shipping (OnlyScrews.in),1,60,0.72,https://onlyscrews.in/
TOTAL,,12078.30,136.71,
