Designator,Mid X,Mid Y,Rotation,Layer
A1,365.8616,-117.8814,0.0,top
D1,52.082987,-108.37805,0.0,bottom
D10,237.820487,-108.37805,0.0,bottom
D11,256.870487,-108.37805,0.0,bottom
D12,275.920487,-108.37805,0.0,bottom
D13,294.970487,-108.37805,0.0,bottom
D14,52.082987,-132.19055,0.0,bottom
D15,71.132987,-132.19055,0.0,bottom
D16,90.182987,-132.19055,0.0,bottom
D17,109.232987,-132.19055,0.0,bottom
D18,128.282987,-132.19055,0.0,bottom
D19,147.332987,-132.19055,0.0,bottom
D2,75.895487,-108.37805,0.0,bottom
D20,166.382987,-132.19055,0.0,bottom
D21,185.432987,-132.19055,0.0,bottom
D22,204.482987,-132.19055,0.0,bottom
D23,223.532987,-132.19055,0.0,bottom
D24,242.582987,-132.19055,0.0,bottom
D25,261.632987,-132.19055,0.0,bottom
D26,280.682987,-132.19055,0.0,bottom
D27,309.257987,-132.19055,0.0,bottom
D28,347.357987,-132.19055,0.0,bottom
D29,56.845487,-151.24055,0.0,bottom
D3,94.945487,-108.37805,0.0,bottom
D30,80.657987,-151.24055,0.0,bottom
D31,99.707987,-151.24055,0.0,bottom
D32,118.757987,-151.24055,0.0,bottom
D33,137.807987,-151.24055,0.0,bottom
D34,156.857987,-151.24055,0.0,bottom
D35,175.907987,-151.24055,0.0,bottom
D36,194.957987,-151.24055,0.0,bottom
D37,214.007987,-151.24055,0.0,bottom
D38,233.057987,-151.24055,0.0,bottom
D39,252.107987,-151.24055,0.0,bottom
D4,113.995487,-108.37805,0.0,bottom
D40,271.157987,-151.24055,0.0,bottom
D41,290.207987,-151.24055,0.0,bottom
D42,316.401737,-160.76555,0.0,bottom
D43,347.357987,-151.24055,0.0,bottom
D44,59.226737,-170.29055,0.0,bottom
D45,85.420487,-170.29055,0.0,bottom
D46,104.470487,-170.29055,0.0,bottom
D47,123.520487,-170.29055,0.0,bottom
D48,142.570487,-170.29055,0.0,bottom
D49,161.620487,-170.29055,0.0,bottom
D5,133.045487,-108.37805,0.0,bottom
D50,180.670487,-170.29055,0.0,bottom
D51,199.720487,-170.29055,0.0,bottom
D52,218.770487,-170.29055,0.0,bottom
D53,237.820487,-170.29055,0.0,bottom
D54,256.870487,-170.29055,0.0,bottom
D55,275.920487,-170.29055,0.0,bottom
D56,294.970487,-170.29055,0.0,bottom
D57,347.357987,-170.29055,0.0,bottom
D58,61.4575,-189.36,0.0,bottom
D59,90.195,-189.33875,0.0,bottom
D6,156.857987,-108.37805,0.0,bottom
D60,109.245,-189.33875,0.0,bottom
D61,128.295,-189.33875,0.0,bottom
D62,147.345,-189.33875,0.0,bottom
D63,166.395,-189.33875,0.0,bottom
D64,185.445,-189.33875,0.0,bottom
D65,204.495,-189.33875,0.0,bottom
D66,223.545,-189.33875,0.0,bottom
D67,242.595,-189.33875,0.0,bottom
D68,261.645,-189.33875,0.0,bottom
D69,292.589237,-189.34055,0.0,bottom
D7,175.907987,-108.37805,0.0,bottom
D70,323.551638,-194.07424,0.0,bottom
D71,347.357987,-189.34055,0.0,bottom
D72,54.464237,-208.39055,0.0,bottom
D73,78.276737,-208.39055,0.0,bottom
D74,102.089237,-208.39055,0.0,bottom
D75,172.976737,-208.55305,0.0,bottom
D76,242.582987,-208.39055,0.0,bottom
D77,261.632987,-208.39055,0.0,bottom
D78,280.682987,-208.39055,0.0,bottom
D79,307.138849,-213.03756,0.0,bottom
D8,194.957987,-108.37805,0.0,bottom
D80,326.188849,-213.03756,0.0,bottom
D81,345.238849,-213.03756,0.0,bottom
